,Date,Entry ID,Temperature,Humidity,Light Level,Atmospheric Pressure,Energy Consumed,Energy Generated,Battery State,Max Battery
0,2017-02-28 14:41:28 UTC,3,23.8,24.06,23.82,987.54,0.16,0.0,99.84,100.0
1,2017-02-28 14:41:58 UTC,2,23.94,22.71,24.03,987.67,0.15,0.000163,99.69,100.0
2,2017-02-28 14:42:00 UTC,1,23.94,22.71,76.8,987.67,0.16,3.3e-05,99.53,100.0
3,2017-03-01 12:20:19 UTC,4,20.81,35.13,21.03,999.65,0.3,0.382903,99.61,100.0
4,2017-03-01 12:21:50 UTC,13,20.71,35.04,20.85,999.57,0.15,0.000414,99.46,100.0
5,2017-03-01 12:22:21 UTC,5,20.68,35.04,20.8,999.44,0.15,0.000146,99.31,100.0
6,2017-03-01 12:23:26 UTC,6,20.59,35.02,20.74,999.53,0.15,0.0003,99.16,100.0
7,2017-03-01 12:23:58 UTC,7,20.57,35.02,20.71,999.51,0.16,0.000147,99.0,100.0
8,2017-03-01 12:24:58 UTC,8,20.49,35.02,20.65,999.46,0.15,0.000287,98.85,100.0
9,2017-03-01 12:25:30 UTC,9,20.46,35.02,20.63,999.43,0.16,0.000151,98.69,100.0
10,2017-03-01 12:25:59 UTC,10,20.43,35.02,20.6,999.41,0.15,0.000139,98.54,100.0
11,2017-03-01 12:26:33 UTC,11,20.4,35.02,20.58,999.39,0.15,0.000159,98.39,100.0
12,2017-03-01 12:27:47 UTC,12,20.32,35.02,20.52,999.15,0.15,0.000344,98.25,100.0
13,2017-03-01 12:31:02 UTC,14,20.25,34.92,20.45,999.38,0.15,0.000919,98.1,100.0
14,2017-03-01 12:34:59 UTC,15,20.09,35.0,20.29,999.35,0.15,0.001037,97.95,100.0
15,2017-03-01 12:35:55 UTC,16,20.04,35.0,20.25,999.27,0.15,0.000253,97.8,100.0
16,2017-03-01 12:36:55 UTC,35,20.02,35.1,20.21,999.3,0.14,0.000269,97.66,100.0
17,2017-03-01 12:37:58 UTC,17,19.99,35.1,20.19,999.25,0.14,0.000291,97.52,100.0
18,2017-03-01 12:38:57 UTC,18,19.96,35.19,20.16,999.15,0.14,0.00026,97.38,100.0
19,2017-03-01 12:40:48 UTC,19,19.91,35.19,20.1,999.32,0.14,0.000525,97.24,100.0
20,2017-03-01 12:41:48 UTC,23,19.89,35.29,20.07,999.35,0.15,0.000277,97.09,100.0
21,2017-03-01 12:42:55 UTC,21,19.88,35.29,20.02,999.3,0.15,0.000293,96.94,100.0
22,2017-03-01 12:42:57 UTC,20,19.88,35.29,15.08,999.3,0.15,7e-06,96.79,100.0
23,2017-03-01 12:48:21 UTC,22,19.88,35.29,19.95,999.23,0.15,0.001423,96.64,100.0
24,2017-03-01 12:51:39 UTC,262,19.69,35.18,19.82,999.33,0.15,0.000904,96.49,100.0
25,2017-03-01 12:53:35 UTC,24,19.61,35.18,19.72,999.45,0.15,0.000502,96.34,100.0
26,2017-03-01 12:56:20 UTC,25,19.5,35.08,19.59,999.36,0.15,0.000712,96.19,100.0
27,2017-03-01 12:56:56 UTC,26,19.47,35.08,19.57,999.45,0.14,0.000158,96.05,100.0
28,2017-03-01 13:00:07 UTC,27,19.44,34.99,19.5,999.32,0.15,0.000824,95.9,100.0
29,2017-03-01 13:00:52 UTC,28,19.39,34.99,19.46,999.24,0.16,0.000195,95.74,100.0
30,2017-03-01 13:01:59 UTC,29,19.38,34.99,19.43,999.18,0.15,0.000293,95.59,100.0
31,2017-03-01 13:02:45 UTC,30,19.35,34.99,19.4,999.09,0.15,0.000192,95.44,100.0
32,2017-03-01 13:04:52 UTC,31,19.3,34.97,19.35,998.92,0.16,0.000541,95.29,100.0
33,2017-03-01 13:05:53 UTC,32,19.28,34.97,19.31,998.98,0.15,0.00026,95.14,100.0
34,2017-03-01 13:06:53 UTC,258,19.26,34.97,19.28,998.96,0.16,0.000271,94.98,100.0
35,2017-03-01 13:07:58 UTC,33,19.21,34.97,19.24,999.17,0.15,0.000271,94.83,100.0
36,2017-03-01 13:08:44 UTC,34,19.15,35.06,19.2,999.09,0.15,0.000204,94.68,100.0
